relpath	category	bytes	sha256
case_studies/stage10_public_breadth/stage10_3_public_breadth_report.json	case_study_output	1440	7ab762e164e8a8a73a1f3ca76b01ff63f75fa6ee5a9de9ca9bcfb537c963e1fc
case_studies/stage10_public_breadth/stage10_3_public_system_matrix.tsv	case_study_output	1773	e96cc4368c59a7829b785118c69d9438fc9c2ba521fc849f91f778cdf96abdc1
case_studies/stage10_public_breadth/stage10_3_source_access_ledger.tsv	case_study_output	693	38595d8174d88e4140491dfd7126920cb7299eab93c98daf5ed8d4b3cb6c0697
case_studies/stage10_release_candidate/stage10_7_reproducibility_commands.tsv	case_study_output	1698	3723334dea302e9bafbd020e4d72059279b2794b3d698ae0ddca300e701b7751
docs/stage10_1_api_gap_list.md	documentation	698	cedd9fffe455ef884fa9d89d51dab353f5bfccf36da4dc4b1a277da24b393679
docs/stage10_2_named_benchmarking.md	documentation	4850	3b9464f7d96049ef769e9c3adb996ea3a2dec19af28e46afefcfb44298506da7
docs/stage10_3_public_biological_breadth.md	documentation	4248	10234aedef1f5c455cc4e7037169b264eb2acb59d9bc30233cef90ac3c8b4a31
docs/stage10_4_heldout_validation.md	documentation	3255	9f85b9569636e869401c9bfa7763b31c6cdf5f115b978bf354a5916c5bdb5746
docs/stage10_5_method_first_figure_architecture.md	documentation	4314	3cb831cb41ff8fa4d02f65c5016d817607f7c777a6ea7f6f5eea395efdd3608d
docs/stage10_6_manuscript_pitch_transformation.md	documentation	1307	585b03f3dbdce5625dec8d27c2cb979619364f472ac8a7f5821a55d77d4debf8
docs/stage10_method_object_v2.md	documentation	7523	5b2a775a46038fb0fb0ae2e91dcaca4e110e63729d5078a915d1ba08e04e3e48
docs/stage10_nature_methods_eic_rescue_roadmap.md	documentation	28659	17aa0b287653a83b2de0466a990147a72f85b550b2306cd5400f5c4e052bf531
manuscript/nature_methods/figures/stage10_5_method_first_figure_spine.md	manuscript_surface	6925	6ea3fe3a135ba1a55f7f27ab877cae254989496bdf71d4c356fad07051435fb5
manuscript/nature_methods/figures/stage10_5_panel_evidence_crosswalk.csv	manuscript_surface	18895	e98c896f7389b1cf55740fe5df1c09f077e846e79b1e194cd9a317f592ffe043
manuscript/nature_methods/figures/stage10_5_supplementary_map.csv	manuscript_surface	2548	4ece877039a21aaa0a64de19090f16558df755e0240080a08a31bfef53cd6e69
manuscript/nature_methods/stage10_6/discussion_landing_v2.md	manuscript_surface	1056	ca861cdd18cc28e04d7cbdfb2b75ebab172df7aba6fc2a1c363a088e0c61ddcf
manuscript/nature_methods/stage10_6/eic_pitch_v2.md	manuscript_surface	2435	b9403372afad70b59568ae1bda22eafe0a220c8c3a03c4f0aa6c33b6d38d049b
manuscript/nature_methods/stage10_6/main_text_method_first_rescue_draft.md	manuscript_surface	9067	2d56b5e4f29827a403cd62729a2bb153306ebd7b73632de056abef2da7953827
manuscript/nature_methods/stage10_6/results_method_first_v2.md	manuscript_surface	5475	39e6e9dfc5a4c1f4fdb995ebb75cb7808351daa6517dae4b0902d4d4ab87ee0c
manuscript/nature_methods/stage10_6/stage10_6_change_matrix.tsv	manuscript_surface	1820	dd272fcc1dabb2833f0e2a98a2de848e0add5f78011ac79457b43ae5971e2334
manuscript/nature_methods/stage10_6/stage10_6_claim_boundary_audit.tsv	manuscript_surface	1272	9d8502623edecacd895aa76337dd9cdfb6b580327ee7f0637b33a4141e08e9ac
manuscript/nature_methods/stage10_6/title_abstract_v2.md	manuscript_surface	2315	6de447f002fd97b1090e8873fe3eaddae6ee2fb3fc2573b6f541fa59c065b4c4
scripts/run_stage10_1_method_object_v2.py	script	11367	e2588e39d5013ef0710f6851083ee5fd8374fdf5a1f658313694fc99a1ef6720
scripts/run_stage10_2_named_benchmarking.py	script	29178	356619b4755c373f25a3ee368da7342b0b578ead4b86d17148580001493f7049
scripts/run_stage10_3_public_biological_breadth.py	script	25619	116026f1ad406df51350388d7b50b79f454ea7d5efa980cb0c201ff59b82ed32
scripts/run_stage10_4_heldout_validation.py	script	22208	f9b94d1f4c11348af1914562f92485f224e87c3cc2891240d7f29a26765498e7
scripts/run_stage10_5_figure_architecture.py	script	39888	20c16c7ca7a6984d960f18a410fdfb5b95b183571f7be4d42ef380292bc52535
scripts/run_stage10_6_manuscript_pitch.py	script	24214	030c1e3468af72b2376e8aba11d8b237e5079f1617ceb61187dcdc2bf50f2b45
scripts/run_stage10_7_benchmark_release_candidate.py	script	13558	66e3b924e4901a8e6d6480932d6b1b57899bda22dc4da7cd8cd3d88217f7b074
src/rhodyn/method_object.py	library_source	11043	15026f332a6609de135761332aece8535a60c55262042e45c84d1f02391ac833
src/rhodyn/named_baselines.py	library_source	14773	118c5d488ebfebf8f134c2665a908eae8c65531c72dd06308ee327a4d18c6a40
tests/test_stage10_1_method_object_v2.py	test	4814	be83968377505579fed8b6fa0ef14c6ab7d9579dbb0a24d19ffa177345c64f4b
tests/test_stage10_2_named_benchmarking.py	test	3570	a5827898c14aefee8b7c5998579b1524b639ecc55acfb88b5d6abcff12b6aed1
tests/test_stage10_3_public_biological_breadth.py	test	3644	dc3d9d4a9bd5a09cb679f57c8b82e9a3eb2caa6336547bf97de42264bfe9b6cd
tests/test_stage10_4_heldout_validation.py	test	3924	cf14ace40c9b0edb21c33dad9c4448ca64d4bee966ea816b37febe527fc5b478
tests/test_stage10_5_figure_architecture.py	test	4225	fb01e9a6162030922c9d01ca47074e3c2c781b70078725b82dd703c62b04cee4
tests/test_stage10_6_manuscript_pitch.py	test	4481	6c907bf6463430932c67f066169470e8536fa95ffd31e5536a9137d311d5f2b2
tests/test_stage10_7_benchmark_release_candidate.py	test	3886	9e0e69ed0e721cb061f37d31ebdedad80db572cb8fdf3e1b19c260543fd91497
