model,endpoint,observed,predicted,weight,compound_index,compound_id_sha12
cytoplasm_block_5nn,ER stress,0,0,0.00088495575,4,b82f4cd747f3
nuclei_block_5nn,ER stress,0,0,0.00088495575,4,b82f4cd747f3
compartment_route_5nn,ER stress,0,0.2,0.00088495575,4,b82f4cd747f3
endpoint_prevalence,heat shock,0,0.11567732,0.00085910653,4,b82f4cd747f3
morphology_magnitude_5nn,heat shock,0,0,0.00085910653,4,b82f4cd747f3
cells_block_5nn,heat shock,0,0,0.00085910653,4,b82f4cd747f3
cytoplasm_block_5nn,heat shock,0,0,0.00085910653,4,b82f4cd747f3
nuclei_block_5nn,heat shock,0,0,0.00085910653,4,b82f4cd747f3
compartment_route_5nn,heat shock,0,0.2,0.00085910653,4,b82f4cd747f3
endpoint_prevalence,microtubule up,0,0.02739726,0.00078125,4,b82f4cd747f3
morphology_magnitude_5nn,microtubule up,0,0,0.00078125,4,b82f4cd747f3
cells_block_5nn,microtubule up,0,0,0.00078125,4,b82f4cd747f3
cytoplasm_block_5nn,microtubule up,0,0,0.00078125,4,b82f4cd747f3
nuclei_block_5nn,microtubule up,0,0,0.00078125,4,b82f4cd747f3
compartment_route_5nn,microtubule up,0,0.2,0.00078125,4,b82f4cd747f3
endpoint_prevalence,mitochondrial disruption up,0,0.083713851,0.0008291874,4,b82f4cd747f3
morphology_magnitude_5nn,mitochondrial disruption up,0,0.2,0.0008291874,4,b82f4cd747f3
cells_block_5nn,mitochondrial disruption up,0,0.2,0.0008291874,4,b82f4cd747f3
cytoplasm_block_5nn,mitochondrial disruption up,0,0.2,0.0008291874,4,b82f4cd747f3
nuclei_block_5nn,mitochondrial disruption up,0,0,0.0008291874,4,b82f4cd747f3
compartment_route_5nn,mitochondrial disruption up,0,0.2,0.0008291874,4,b82f4cd747f3
endpoint_prevalence,oxidative stress up,0,0.15981735,0.00090415913,4,b82f4cd747f3
morphology_magnitude_5nn,oxidative stress up,0,0,0.00090415913,4,b82f4cd747f3
cells_block_5nn,oxidative stress up,0,0,0.00090415913,4,b82f4cd747f3
cytoplasm_block_5nn,oxidative stress up,0,0,0.00090415913,4,b82f4cd747f3
nuclei_block_5nn,oxidative stress up,0,0.2,0.00090415913,4,b82f4cd747f3
compartment_route_5nn,oxidative stress up,0,0.2,0.00090415913,4,b82f4cd747f3
endpoint_prevalence,proliferation decrease,0,0.12633181,0.00086956522,4,b82f4cd747f3
morphology_magnitude_5nn,proliferation decrease,0,0.2,0.00086956522,4,b82f4cd747f3
cells_block_5nn,proliferation decrease,0,0.2,0.00086956522,4,b82f4cd747f3
cytoplasm_block_5nn,proliferation decrease,0,0.2,0.00086956522,4,b82f4cd747f3
nuclei_block_5nn,proliferation decrease,0,0,0.00086956522,4,b82f4cd747f3
compartment_route_5nn,proliferation decrease,0,0.2,0.00086956522,4,b82f4cd747f3
endpoint_prevalence,apoptosis up,0,0.23744292,0.00099601594,5,01d4046e2b3d
morphology_magnitude_5nn,apoptosis up,0,0.4,0.00099601594,5,01d4046e2b3d
cells_block_5nn,apoptosis up,0,0.2,0.00099601594,5,01d4046e2b3d
cytoplasm_block_5nn,apoptosis up,0,0.4,0.00099601594,5,01d4046e2b3d
nuclei_block_5nn,apoptosis up,0,0.4,0.00099601594,5,01d4046e2b3d
compartment_route_5nn,apoptosis up,0,0.2,0.00099601594,5,01d4046e2b3d
endpoint_prevalence,cytotoxicity BLA,0,0.20091324,0.00095057034,5,01d4046e2b3d
morphology_magnitude_5nn,cytotoxicity BLA,0,0.2,0.00095057034,5,01d4046e2b3d
cells_block_5nn,cytotoxicity BLA,0,0,0.00095057034,5,01d4046e2b3d
cytoplasm_block_5nn,cytotoxicity BLA,0,0.2,0.00095057034,5,01d4046e2b3d
nuclei_block_5nn,cytotoxicity BLA,0,0.2,0.00095057034,5,01d4046e2b3d
compartment_route_5nn,cytotoxicity BLA,0,0.4,0.00095057034,5,01d4046e2b3d
endpoint_prevalence,cytotoxicity SRB,0,0.086757991,0.00083194676,5,01d4046e2b3d
morphology_magnitude_5nn,cytotoxicity SRB,0,0.2,0.00083194676,5,01d4046e2b3d
cells_block_5nn,cytotoxicity SRB,0,0,0.00083194676,5,01d4046e2b3d
cytoplasm_block_5nn,cytotoxicity SRB,0,0,0.00083194676,5,01d4046e2b3d
nuclei_block_5nn,cytotoxicity SRB,0,0,0.00083194676,5,01d4046e2b3d
compartment_route_5nn,cytotoxicity SRB,0,0,0.00083194676,5,01d4046e2b3d
endpoint_prevalence,ER stress,0,0.14155251,0.00088495575,5,01d4046e2b3d
morphology_magnitude_5nn,ER stress,0,0,0.00088495575,5,01d4046e2b3d
cells_block_5nn,ER stress,0,0.2,0.00088495575,5,01d4046e2b3d
cytoplasm_block_5nn,ER stress,0,0,0.00088495575,5,01d4046e2b3d
nuclei_block_5nn,ER stress,0,0,0.00088495575,5,01d4046e2b3d
compartment_route_5nn,ER stress,0,0,0.00088495575,5,01d4046e2b3d
endpoint_prevalence,heat shock,0,0.11567732,0.00085910653,5,01d4046e2b3d
morphology_magnitude_5nn,heat shock,0,0,0.00085910653,5,01d4046e2b3d
cells_block_5nn,heat shock,0,0,0.00085910653,5,01d4046e2b3d
cytoplasm_block_5nn,heat shock,0,0.2,0.00085910653,5,01d4046e2b3d
nuclei_block_5nn,heat shock,0,0.2,0.00085910653,5,01d4046e2b3d
compartment_route_5nn,heat shock,0,0,0.00085910653,5,01d4046e2b3d
endpoint_prevalence,microtubule up,0,0.02739726,0.00078125,5,01d4046e2b3d
morphology_magnitude_5nn,microtubule up,0,0,0.00078125,5,01d4046e2b3d
cells_block_5nn,microtubule up,0,0,0.00078125,5,01d4046e2b3d
cytoplasm_block_5nn,microtubule up,0,0,0.00078125,5,01d4046e2b3d
nuclei_block_5nn,microtubule up,0,0,0.00078125,5,01d4046e2b3d
compartment_route_5nn,microtubule up,0,0,0.00078125,5,01d4046e2b3d
endpoint_prevalence,mitochondrial disruption up,0,0.083713851,0.0008291874,5,01d4046e2b3d
morphology_magnitude_5nn,mitochondrial disruption up,0,0.2,0.0008291874,5,01d4046e2b3d
cells_block_5nn,mitochondrial disruption up,0,0.2,0.0008291874,5,01d4046e2b3d
cytoplasm_block_5nn,mitochondrial disruption up,0,0.2,0.0008291874,5,01d4046e2b3d
nuclei_block_5nn,mitochondrial disruption up,0,0.2,0.0008291874,5,01d4046e2b3d
compartment_route_5nn,mitochondrial disruption up,0,0,0.0008291874,5,01d4046e2b3d
endpoint_prevalence,oxidative stress up,0,0.15981735,0.00090415913,5,01d4046e2b3d
morphology_magnitude_5nn,oxidative stress up,0,0.4,0.00090415913,5,01d4046e2b3d
cells_block_5nn,oxidative stress up,0,0,0.00090415913,5,01d4046e2b3d
cytoplasm_block_5nn,oxidative stress up,0,0.2,0.00090415913,5,01d4046e2b3d
nuclei_block_5nn,oxidative stress up,0,0.2,0.00090415913,5,01d4046e2b3d
compartment_route_5nn,oxidative stress up,0,0,0.00090415913,5,01d4046e2b3d
endpoint_prevalence,proliferation decrease,0,0.12633181,0.00086956522,5,01d4046e2b3d
morphology_magnitude_5nn,proliferation decrease,0,0.2,0.00086956522,5,01d4046e2b3d
cells_block_5nn,proliferation decrease,0,0.2,0.00086956522,5,01d4046e2b3d
cytoplasm_block_5nn,proliferation decrease,0,0.2,0.00086956522,5,01d4046e2b3d
nuclei_block_5nn,proliferation decrease,0,0.2,0.00086956522,5,01d4046e2b3d
compartment_route_5nn,proliferation decrease,0,0,0.00086956522,5,01d4046e2b3d
endpoint_prevalence,apoptosis up,0,0.23744292,0.00099601594,6,39d4bb912183
morphology_magnitude_5nn,apoptosis up,0,0,0.00099601594,6,39d4bb912183
cells_block_5nn,apoptosis up,0,0,0.00099601594,6,39d4bb912183
