fig_id	old_panel	old_panel_title	old_visual_problem	mutation_decision	new_panel	new_panel_title	data_object_shown	method_operation_tested	uncertainty_or_model_layer	visual_elements_removed	strongest_replacement_panel	minimum_required_data_objects	status
FIG-003	B	DRG calcium residence-amplitude divergence	quantitative trace concept retained	rebuild	F	Source eligibility	Existing Stage 7/10 quantitative output tied to this figure claim	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-003F. Source eligibility	case_studies/stage7_public_signaling/drg_calcium_residence_amplitude_summary.csv;case_studies/stage7_public_signaling/drg_calcium_uncertainty_summary.csv	mutation_bound
FIG-003	C	ERK GPCR residence-amplitude divergence and sufficiency boundary	trace concept retained but needs distributions	rebuild	F	Source eligibility	Existing Stage 7/10 quantitative output tied to this figure claim	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-003F. Source eligibility	case_studies/stage7_public_signaling/erk_gpcr_residence_amplitude_summary.csv;case_studies/stage10_heldout_validation/stage10_4_heldout_decisions.tsv	mutation_bound
FIG-003	D	Cell Painting and MitoTox endpoint architecture	schematic endpoint network	rebuild	F	Source eligibility	Existing Stage 7/10 quantitative output tied to this figure claim	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-003F. Source eligibility	case_studies/stage7_endpoint_reserve_routing/cell_painting_routed_model_comparison.csv;case_studies/stage7_endpoint_reserve_routing/cell_painting_reserve_like_model_summary.csv	mutation_bound
FIG-003	E	MLCI tracking residence-amplitude stress test	trace concept retained	rebuild	F	Source eligibility	Existing Stage 7/10 quantitative output tied to this figure claim	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-003F. Source eligibility	case_studies/stage10_public_breadth/stage10_3_mlci_tracking_residence_summary.csv;case_studies/stage10_heldout_validation/stage10_4_trajectory_object_calls.csv	mutation_bound
FIG-003	F	Source eligibility and deferred datasets	ledger-like table	demote_or_compress	F	Source eligibility	Existing Stage 7/10 quantitative output tied to this figure claim	Residence-amplitude divergence is observable across public trajectory and endpoint examples while source eligibility remains explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-003F. Source eligibility	case_studies/stage10_public_breadth/stage10_3_candidate_resolution.tsv;case_studies/stage10_public_breadth/stage10_3_source_access_ledger.tsv;case_studies/stage10_public_breadth/stage10_3_birtwistle_source_probe.json	mutation_bound
FIG-004	A	Endpoint input schema and contrast contract	workflow boxes	rebuild	E	Scope limits	Existing Stage 7/10 quantitative output tied to this figure claim	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-004E. Scope limits	case_studies/stage7_endpoint_reserve_routing/stage7_4_case_summary.tsv;case_studies/stage7_endpoint_reserve_routing/cell_painting_tidy_endpoint_model_rows.csv	mutation_bound
FIG-004	B	Bounded-coupling decisions under declared margins	usable interval concept	mutate	E	Scope limits	Existing Stage 7/10 quantitative output tied to this figure claim	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-004E. Scope limits	case_studies/stage7_endpoint_reserve_routing/erk_akt_bounded_coupling_decisions.csv;case_studies/stage7_endpoint_reserve_routing/erk_akt_bounded_coupling_stage7_4_report.md	mutation_bound
FIG-004	C	Reserve-like endpoint coordinate	usable uncertainty concept	mutate	E	Scope limits	Existing Stage 7/10 quantitative output tied to this figure claim	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-004E. Scope limits	case_studies/stage7_endpoint_reserve_routing/cell_painting_reserve_like_endpoint_rows.csv;case_studies/stage7_endpoint_reserve_routing/cell_painting_reserve_like_uncertainty.csv	mutation_bound
FIG-004	D	Routed-output reduced-architecture comparison	usable model-comparison concept	mutate	E	Scope limits	Existing Stage 7/10 quantitative output tied to this figure claim	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-004E. Scope limits	case_studies/stage7_endpoint_reserve_routing/cell_painting_routed_model_comparison.csv;case_studies/stage7_endpoint_reserve_routing/cell_painting_reduced_alternative_decisions.tsv	mutation_bound
FIG-004	E	Measurement-scope limits	ledger-like table	demote_or_compress	E	Scope limits	Existing Stage 7/10 quantitative output tied to this figure claim	Endpoint and paired-reporter data can enter RhoDyn as declared contrasts, bounded intervals, reserve-like coordinates and reduced-architecture comparisons.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-004E. Scope limits	case_studies/stage7_endpoint_reserve_routing/stage7_4_endpoint_reserve_routing_gate_report.json;docs/stage7_endpoint_reserve_routing_demonstrations.md	mutation_bound
FIG-005	A	Predeclared splits, thresholds, and margins	workflow boxes	rebuild	E	Validation boundary	Existing Stage 7/10 quantitative output tied to this figure claim	No-retuning held-out tests preserve positive, comparator-sufficient and inconclusive calls rather than forcing universal method superiority.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-005E. Validation boundary	case_studies/stage10_heldout_validation/stage10_4_predeclaration.json;case_studies/stage10_heldout_validation/stage10_4_predeclaration.md	mutation_bound
FIG-005	B	Held-out decision table	usable decision matrix	mutate	E	Validation boundary	Existing Stage 7/10 quantitative output tied to this figure claim	No-retuning held-out tests preserve positive, comparator-sufficient and inconclusive calls rather than forcing universal method superiority.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-005E. Validation boundary	case_studies/stage10_heldout_validation/stage10_4_heldout_decisions.tsv	mutation_bound
FIG-005	C	Object-level held-out trajectory calls	usable object-level scatter	mutate	E	Validation boundary	Existing Stage 7/10 quantitative output tied to this figure claim	No-retuning held-out tests preserve positive, comparator-sufficient and inconclusive calls rather than forcing universal method superiority.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-005E. Validation boundary	case_studies/stage10_heldout_validation/stage10_4_trajectory_object_calls.csv	mutation_bound
FIG-005	D	No-hidden-tuning and gate status	status checklist	demote_or_compress	E	Validation boundary	Existing Stage 7/10 quantitative output tied to this figure claim	No-retuning held-out tests preserve positive, comparator-sufficient and inconclusive calls rather than forcing universal method superiority.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-005E. Validation boundary	case_studies/stage10_heldout_validation/stage10_4_gate_report.json;case_studies/stage10_heldout_validation/stage10_4_heldout_report.md	mutation_bound
FIG-005	E	Prospective validation boundary	conceptual boundary	demote_or_compress	E	Validation boundary	Existing Stage 7/10 quantitative output tied to this figure claim	No-retuning held-out tests preserve positive, comparator-sufficient and inconclusive calls rather than forcing universal method superiority.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-005E. Validation boundary	docs/stage10_4_heldout_validation.md;case_studies/stage10_heldout_validation/stage10_4_gate_report.json	mutation_bound
FIG-006	A	Python, CLI, API, and workbench parity	software parity table	rebuild	E	Inference scope	Existing Stage 7/10 quantitative output tied to this figure claim	The method is reproducible across interfaces and archives while its admissible operating regions and non-claims remain explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-006E. Inference scope	case_studies/stage7_methods_reproducibility/cross_surface_parity.tsv	mutation_bound
FIG-006	B	Analysis export bundle anatomy	workflow diagram	demote_or_compress	E	Inference scope	Existing Stage 7/10 quantitative output tied to this figure claim	The method is reproducible across interfaces and archives while its admissible operating regions and non-claims remain explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-006E. Inference scope	case_studies/stage7_usability_rehearsal/export_examples_manifest.tsv	mutation_bound
FIG-006	C	Clean-room reproduction	loop diagram	demote_or_compress	E	Inference scope	Existing Stage 7/10 quantitative output tied to this figure claim	The method is reproducible across interfaces and archives while its admissible operating regions and non-claims remain explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-006E. Inference scope	case_studies/stage7_methods_reproducibility/stage7_6_methods_reproducibility_gate_report.json;docs/clean_room_reproducibility_report.md	mutation_bound
FIG-006	D	Archive and checksum coverage	ledger table	rebuild	E	Inference scope	Existing Stage 7/10 quantitative output tied to this figure claim	The method is reproducible across interfaces and archives while its admissible operating regions and non-claims remain explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-006E. Inference scope	case_studies/stage7_methods_reproducibility/release_archive_manifest.tsv;docs/release_checksums.csv	mutation_bound
FIG-006	E	User-path rehearsal	conceptual user path	demote_or_compress	E	Inference scope	Existing Stage 7/10 quantitative output tied to this figure claim	The method is reproducible across interfaces and archives while its admissible operating regions and non-claims remain explicit.	distribution, interval, heatmap, residual, sensitivity, or reproducibility check	review prose, stage labels, card boxes, oversized arrows, and decorative schematic space	FIG-006E. Inference scope	case_studies/stage7_usability_rehearsal/user_path_findings.tsv;case_studies/stage7_usability_rehearsal/stage7_7_usability_gate_report.json	mutation_bound
