fig_id,panel,panel_id,figure_title,figure_role,panel_title,method_job,reader_takeaway,stage_anchor,vulnerability_addressed,evidence_files,source_scripts,render_recipe_hint,role_class
FIG-004,A,FIG-004A,"Figure 4. Endpoint, reserve-like, bounded-coupling, and routed-output decisions extend the method",endpoint_reserve_routing_extension,Endpoint input schema and contrast contract,"Define how endpoint perturbation rows carry grouping, contrast, margin, and readout fields.",Endpoint use cases enter RhoDyn through declared contrasts rather than being forced into trajectory language.,7.4/10.5,method_generalization,case_studies/stage7_endpoint_reserve_routing/stage7_4_case_summary.tsv;case_studies/stage7_endpoint_reserve_routing/cell_painting_tidy_endpoint_model_rows.csv,scripts/run_stage7_4_endpoint_reserve_routing.py,endpoint_schema_flow,main_method_extension
FIG-004,B,FIG-004B,"Figure 4. Endpoint, reserve-like, bounded-coupling, and routed-output decisions extend the method",endpoint_reserve_routing_extension,Bounded-coupling decisions under declared margins,"Show margin-bound ERK/Akt coupling calls with pass, fail, or inconclusive decisions.","Bounded coupling is a context-scoped interval decision, not a claim of no biochemical interaction.",7.4/10.5,method_generalization,case_studies/stage7_endpoint_reserve_routing/erk_akt_bounded_coupling_decisions.csv;case_studies/stage7_endpoint_reserve_routing/erk_akt_bounded_coupling_stage7_4_report.md,scripts/run_stage7_4_endpoint_reserve_routing.py,bounded_coupling_interval_table,main_method_extension
FIG-004,C,FIG-004C,"Figure 4. Endpoint, reserve-like, bounded-coupling, and routed-output decisions extend the method",endpoint_reserve_routing_extension,Reserve-like endpoint coordinate,Tie buffering language to measured endpoint preservation rather than hidden latent reserve.,Reserve-like calls remain measurement-scoped and uncertainty-aware.,7.4/10.5,method_generalization,case_studies/stage7_endpoint_reserve_routing/cell_painting_reserve_like_endpoint_rows.csv;case_studies/stage7_endpoint_reserve_routing/cell_painting_reserve_like_uncertainty.csv,scripts/run_stage7_4_endpoint_reserve_routing.py,reserve_endpoint_uncertainty_panel,main_method_extension
FIG-004,D,FIG-004D,"Figure 4. Endpoint, reserve-like, bounded-coupling, and routed-output decisions extend the method",endpoint_reserve_routing_extension,Routed-output reduced-architecture comparison,Compare candidate endpoint architectures against reduced alternatives.,Routed-output support is earned only when reduced alternatives fail within the measured endpoint structure.,7.4/10.5,method_generalization,case_studies/stage7_endpoint_reserve_routing/cell_painting_routed_model_comparison.csv;case_studies/stage7_endpoint_reserve_routing/cell_painting_reduced_alternative_decisions.tsv,scripts/run_stage7_4_endpoint_reserve_routing.py,architecture_comparison_matrix,main_method_extension
FIG-004,E,FIG-004E,"Figure 4. Endpoint, reserve-like, bounded-coupling, and routed-output decisions extend the method",endpoint_reserve_routing_extension,Measurement-scope limits,"State where endpoint, reserve-like, and routed-output decisions should abstain.",The method extension is broad enough for endpoint data but still bounded by assay scope and declared alternatives.,7.4/10.5,method_generalization,case_studies/stage7_endpoint_reserve_routing/stage7_4_endpoint_reserve_routing_gate_report.json;docs/stage7_endpoint_reserve_routing_demonstrations.md,scripts/run_stage7_4_endpoint_reserve_routing.py,endpoint_limitations_table,main_method_extension
FIG-005,A,FIG-005A,"Figure 5. Sealed held-out validation shows pass, comparator-sufficient, and inconclusive outcomes",heldout_validation,"Predeclared splits, thresholds, and margins",Place training definitions and held-out contexts before the decision table.,The validation panels are no-retuning challenges rather than retrospective optimization.,10.4,heldout_validation,case_studies/stage10_heldout_validation/stage10_4_predeclaration.json;case_studies/stage10_heldout_validation/stage10_4_predeclaration.md,scripts/run_stage10_4_heldout_validation.py,predeclaration_flow,main_validation
FIG-005,B,FIG-005B,"Figure 5. Sealed held-out validation shows pass, comparator-sufficient, and inconclusive outcomes",heldout_validation,Held-out decision table,"Show positive, negative or comparator-sufficient, and inconclusive calls in one panel.",RhoDyn becomes stronger by preserving unsupported and comparator-sufficient outcomes alongside positive calls.,10.4,heldout_validation,case_studies/stage10_heldout_validation/stage10_4_heldout_decisions.tsv,scripts/run_stage10_4_heldout_validation.py,heldout_decision_matrix,main_validation
FIG-005,C,FIG-005C,"Figure 5. Sealed held-out validation shows pass, comparator-sufficient, and inconclusive outcomes",heldout_validation,Object-level held-out trajectory calls,Expose the MLCI and ERK object-level classifications behind held-out decisions.,Held-out evidence is inspectable at the object level rather than only as a summary verdict.,10.4,heldout_validation,case_studies/stage10_heldout_validation/stage10_4_trajectory_object_calls.csv,scripts/run_stage10_4_heldout_validation.py,heldout_object_scatter,main_validation
FIG-005,D,FIG-005D,"Figure 5. Sealed held-out validation shows pass, comparator-sufficient, and inconclusive outcomes",heldout_validation,No-hidden-tuning and gate status,Render Stage 10.4 gates and hidden-tuning status as validation evidence.,The held-out result is scoped but rule-preserving.,10.4,heldout_validation,case_studies/stage10_heldout_validation/stage10_4_gate_report.json;case_studies/stage10_heldout_validation/stage10_4_heldout_report.md,scripts/run_stage10_4_heldout_validation.py,gate_status_table,main_validation
FIG-005,E,FIG-005E,"Figure 5. Sealed held-out validation shows pass, comparator-sufficient, and inconclusive outcomes",heldout_validation,Prospective validation boundary,State the remaining distinction between sealed replay and prospective blinded collaborator validation.,Stage 10.4 lowers desk-rejection risk but does not replace future prospective external validation.,10.4,heldout_validation,docs/stage10_4_heldout_validation.md;case_studies/stage10_heldout_validation/stage10_4_gate_report.json,scripts/run_stage10_4_heldout_validation.py,validation_boundary_panel,main_validation
FIG-006,A,FIG-006A,Figure 6. Reproducible software surfaces make the method inspectable,software_reproducibility_secondary,"Python, CLI, API, and workbench parity",Show that interface surfaces delegate to the same stable method outputs.,Software maturity supports inspectability after the method evidence has already been established.,7.6/7.7,software_secondary_support,case_studies/stage7_methods_reproducibility/cross_surface_parity.tsv,scripts/run_stage7_6_methods_reproducibility.py,parity_table,software_after_method_evidence
FIG-006,B,FIG-006B,Figure 6. Reproducible software surfaces make the method inspectable,software_reproducibility_secondary,Analysis export bundle anatomy,"Show inputs, schema, parameters, outputs, figures, and checksums in the same bundle.",The method reports are reproducible rather than hidden in session state.,7.6/7.7,software_secondary_support,case_studies/stage7_usability_rehearsal/export_examples_manifest.tsv,scripts/run_stage7_7_usability_rehearsal.py,export_bundle_diagram,software_after_method_evidence
FIG-006,C,FIG-006C,Figure 6. Reproducible software surfaces make the method inspectable,software_reproducibility_secondary,Clean-room reproduction,Document the source-distribution replay route for selected evidence outputs.,A fresh environment can regenerate the retained method evidence surfaces.,7.6/7.7,software_secondary_support,case_studies/stage7_methods_reproducibility/stage7_6_methods_reproducibility_gate_report.json;docs/clean_room_reproducibility_report.md,scripts/run_stage7_6_methods_reproducibility.py;scripts/run_clean_room_reproducibility.py,clean_room_flow,software_after_method_evidence
FIG-006,D,FIG-006D,Figure 6. Reproducible software surfaces make the method inspectable,software_reproducibility_secondary,Archive and checksum coverage,Show release archive inventory and checksum coverage.,The public release is citable and inspectable without importing private manuscript data.,7.6/7.7,software_secondary_support,case_studies/stage7_methods_reproducibility/release_archive_manifest.tsv;docs/release_checksums.csv,scripts/write_release_checksums.py,archive_checksum_panel,software_after_method_evidence
FIG-006,E,FIG-006E,Figure 6. Reproducible software surfaces make the method inspectable,software_reproducibility_secondary,User-path rehearsal,Show biologist-facing and quantitative paths to the same reviewable outputs.,"Adoption evidence is presented as reproducibility support, not as the scientific advance itself.",7.6/7.7,software_secondary_support,case_studies/stage7_usability_rehearsal/user_path_findings.tsv;case_studies/stage7_usability_rehearsal/stage7_7_usability_gate_report.json,scripts/run_stage7_7_usability_rehearsal.py,user_path_panel,software_after_method_evidence
